,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches
537,Axel Sjöberg,SWE,DF,Colorado Rapids,26,1991,17,15,1333,14.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.03,0.0,0.03,0.03,0.03,Matches
538,Jørgen Skjelvik,NOR,DF,LA Galaxy,26,1991,32,29,2588,28.8,0,1,0,0,0,6,0,0.0,0.03,0.03,0.0,0.03,0.5,0.5,0.2,0.7,0.02,0.01,0.02,0.02,0.02,Matches
539,Brad Smith,AUS,DF,Seattle,23,1994,6,6,443,4.9,0,1,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2,0.3,0.3,0.8,1.0,0.06,0.15,0.21,0.06,0.21,Matches
540,Graham Smith,USA,DF,Sporting KC,22,1995,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.08,0.0,0.08,0.08,0.08,Matches
541,Tommy Smith,NZL,DF,Colorado Rapids,27,1990,33,33,2969,33.0,4,3,4,0,0,6,1,0.12,0.09,0.21,0.12,0.21,2.0,2.0,0.8,2.8,0.06,0.03,0.09,0.06,0.09,Matches
542,Luis Solignac,ARG,FWMF,Chicago Fire,26,1991,11,8,699,7.8,0,1,0,0,0,0,0,0.0,0.13,0.13,0.0,0.13,1.7,1.7,0.3,1.9,0.22,0.04,0.25,0.22,0.25,Matches
543,Gabriel Somi,SYR,DF,New England,26,1991,14,12,1038,11.5,0,1,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09,0.3,0.3,0.7,0.9,0.02,0.06,0.08,0.02,0.08,Matches
544,Eduardo Sosa,VEN,MFFW,Columbus Crew,20,1997,10,3,391,4.3,1,0,1,0,0,1,1,0.23,0.0,0.23,0.23,0.23,0.4,0.4,0.6,1.0,0.1,0.14,0.24,0.1,0.24,Matches
545,Jonathan Spector,USA,DF,Orlando City,31,1986,13,13,1059,11.8,0,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,0.9,0.9,0.6,1.4,0.07,0.05,0.12,0.07,0.12,Matches
546,Ben Spencer,USA,FW,Toronto FC,22,1995,2,1,82,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.75,0.04,0.79,0.75,0.79,Matches
547,Mac Steeves,USA,FWMF,Houston Dynamo,23,1994,3,0,28,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.15,0.46,0.61,0.15,0.61,Matches
548,Zack Steffen,USA,GK,Columbus Crew,22,1995,29,29,2610,29.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.01,0.01,0.0,0.01,Matches
549,Daniel Steres,USA,DF,LA Galaxy,27,1990,20,14,1322,14.7,0,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,0.3,0.3,0.4,0.7,0.02,0.03,0.05,0.02,0.05,Matches
550,Zoltán Stieber,HUN,MFFW,D.C. United,29,1988,27,21,1827,20.3,5,6,5,0,0,1,0,0.25,0.3,0.54,0.25,0.54,4.0,4.0,3.4,7.3,0.2,0.17,0.36,0.2,0.36,Matches
551,Brad Stuver,USA,GK,NYCFC,26,1991,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
552,Sunny,NGA,MF,Real Salt Lake,29,1988,23,16,1416,15.7,0,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,0.3,0.3,0.5,0.8,0.02,0.03,0.05,0.02,0.05,Matches
553,Scott Sutter,SUI,DF,Orlando City,31,1986,19,18,1563,17.4,3,2,3,0,0,0,0,0.17,0.12,0.29,0.17,0.29,0.8,0.8,1.3,2.2,0.05,0.08,0.13,0.05,0.13,Matches
554,Gustav Svensson,SWE,MFDF,Seattle,30,1987,24,23,2072,23.0,3,1,3,0,0,2,0,0.13,0.04,0.17,0.13,0.17,1.3,1.3,1.0,2.3,0.05,0.04,0.1,0.05,0.1,Matches
