,playerName,ballSkill,defence,mental,passing,physical,shooting,goalkeeper
5315,Jeffrey Schlupp,68.5,69.66666666666667,67.66666666666667,63.0,81.28571428571429,59.25,8.6
5318,Maciej Makuszewski,67.5,39.666666666666664,64.66666666666667,63.333333333333336,79.85714285714286,60.875,9.2
5319,Lukas Hinterseer,66.5,30.333333333333332,60.333333333333336,60.666666666666664,66.0,67.0,9.4
5320,Adam Maher,75.0,51.0,67.0,72.66666666666667,66.85714285714286,67.125,9.6
5321,Stefan Ortega,31.0,13.333333333333334,39.833333333333336,35.0,53.0,16.875,72.4
5322,Magomed Ozdoev,72.5,69.33333333333333,68.16666666666667,69.0,74.0,59.0,13.2
5327,Miloš Kosanović,60.5,70.66666666666667,62.5,73.0,54.42857142857143,67.375,9.2
5328,Atınç Nukan,58.0,69.33333333333333,58.166666666666664,57.0,59.714285714285715,42.75,11.4
5329,Colin Coosemans,23.0,15.0,38.666666666666664,29.333333333333332,48.142857142857146,20.125,71.6
5330,Marco Pérez,67.5,19.0,60.666666666666664,67.0,75.14285714285714,67.5,9.4
5331,Jamie Paterson,71.0,21.666666666666668,55.0,67.33333333333333,72.71428571428571,64.625,10.6
5334,Juan Ezequiel Cuevas,75.0,51.666666666666664,60.333333333333336,68.33333333333333,76.0,61.75,13.0
5335,Nicolas Höfler,66.5,69.0,67.5,65.66666666666667,68.85714285714286,50.5,10.2
5336,Léo Lacroix,56.0,73.66666666666667,57.166666666666664,62.0,58.857142857142854,52.5,11.8
5337,André Hoffmann,56.5,72.0,62.666666666666664,60.0,57.714285714285715,40.0,9.2
5338,Paco Montañés,74.0,32.666666666666664,62.0,68.0,76.71428571428571,63.5,12.4
5341,Jesús Sánchez,71.0,70.66666666666667,59.166666666666664,68.0,76.42857142857143,58.0,10.2
5342,Claiton,51.5,72.0,55.666666666666664,40.0,61.57142857142857,29.25,12.0
5343,Bryan Linssen,74.5,32.333333333333336,65.66666666666667,61.0,77.42857142857143,69.625,10.2
5344,Mathieu Duhamel,72.0,21.666666666666668,62.5,51.0,66.57142857142857,64.625,10.8
5345,Marc Rzatkowski,72.5,56.666666666666664,68.33333333333333,70.66666666666667,74.57142857142857,61.75,13.6
5348,Arsen Khubulov,76.5,19.0,60.666666666666664,67.33333333333333,72.0,64.5,11.6
5349,Anthony Losilla,72.0,67.66666666666667,65.33333333333333,63.0,71.42857142857143,56.0,10.2
5350,Álex Fernández,71.5,68.33333333333333,66.16666666666667,74.33333333333333,61.857142857142854,59.125,12.8
5351,Jonathan Delaplace,70.0,65.33333333333333,70.5,67.66666666666667,72.71428571428571,55.25,9.0
5352,Dennis Appiah,60.5,71.0,65.66666666666667,63.333333333333336,78.28571428571429,46.375,10.0
5355,Kamohelo Mokotjo,69.5,67.33333333333333,70.0,70.0,74.28571428571429,47.75,11.2
5356,Isaac Cofie,70.0,71.66666666666667,70.83333333333333,70.66666666666667,73.28571428571429,61.875,9.6
5357,Uroš Ćosić,55.0,74.66666666666667,51.666666666666664,42.666666666666664,68.28571428571429,39.875,11.0
5358,Simone Romagnoli,48.0,74.0,50.333333333333336,40.666666666666664,60.714285714285715,35.375,11.0
5359,Bailey Wright,57.5,70.66666666666667,60.833333333333336,53.0,70.0,39.375,13.8
5362,Kenneth Zohore,69.0,15.333333333333334,60.666666666666664,44.333333333333336,60.42857142857143,65.875,7.2
5363,Arroyo,48.5,76.33333333333333,63.166666666666664,53.333333333333336,72.28571428571429,32.0,11.0
5364,Guitián,60.5,69.33333333333333,65.16666666666667,56.333333333333336,69.28571428571429,43.125,11.6
5365,Gonzalo Castellani,74.5,52.666666666666664,69.66666666666667,73.33333333333333,69.42857142857143,70.875,11.4
5366,George Thorne,66.5,69.66666666666667,68.0,70.33333333333333,63.0,59.0,13.4
5371,Daniel Bentley,23.5,12.333333333333334,37.166666666666664,27.0,51.42857142857143,16.5,70.6
5372,Bryan Oviedo,73.0,71.66666666666667,69.0,68.0,75.42857142857143,58.375,11.4
5373,Pierre-Michel Lasogga,64.0,30.0,66.0,38.0,55.42857142857143,75.25,9.2
5374,Marcel Büchel,73.5,58.666666666666664,68.83333333333333,69.66666666666667,75.57142857142857,58.0,5.8
5375,Ivo Pinto,66.5,70.66666666666667,65.16666666666667,65.0,74.28571428571429,50.875,12.6
5378,Jacopo Sala,71.0,70.0,68.66666666666667,70.0,73.28571428571429,64.75,8.0
5379,Gabriel Silva,70.0,68.66666666666667,65.66666666666667,73.33333333333333,72.85714285714286,60.625,8.6
5380,Idriss Saadi,67.5,17.666666666666668,60.0,47.333333333333336,77.14285714285714,65.875,8.6
5381,Dejan Lazarević,76.0,33.333333333333336,57.0,62.0,77.42857142857143,57.75,9.4
5382,Iñigo Pérez,67.5,65.33333333333333,64.5,78.0,72.14285714285714,65.375,9.2
5385,Miquel,61.0,69.33333333333333,58.833333333333336,57.0,63.57142857142857,35.75,7.8
5386,Írven Ávila,73.5,18.333333333333332,50.333333333333336,46.333333333333336,70.57142857142857,70.5,12.0
5387,Roy Krishna,74.0,43.333333333333336,62.333333333333336,62.0,81.0,62.0,10.4
5388,Mathieu Peybernès,52.0,71.66666666666667,58.166666666666664,52.0,58.714285714285715,39.0,9.6
5389,Rizvan Utsiev,64.0,73.66666666666667,62.333333333333336,67.0,72.0,50.5,10.8
